CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,30/04/2020,78.8841,53.9778,68.5411,68.3056,107.7743
AN,01/05/2020,80.7629,110.0455,71.5345,74.482,118.0594
AN,02/05/2020,79.1793,0,67.1578,56.5829,85.6667
AN,03/05/2020,77.5154,42.3763,77.3076,113.0393,127.9516
AN,04/05/2020,77.4592,11.7956,65.7895,72.2404,116.5661
AN,05/05/2020,78.4271,85.4221,96.6712,124.3377,96.2546
AN,06/05/2020,78.885,91.3348,0,66.4734,121.2328
AR,30/04/2020,118.8017,76.0781,74.7652,59.1582,54.0556
AR,01/05/2020,140.8344,75.0537,80.1729,24.5858,88.8417
AR,02/05/2020,141.2991,71.8592,84.3521,0,0
AR,03/05/2020,140.6474,71.9836,94.4533,0,210.4013
AR,04/05/2020,140.4221,74.5473,95.6487,27.6296,0
AR,05/05/2020,140.4972,74.4858,126.8474,76.8843,241.7646
AR,06/05/2020,140.5551,72.9564,88.2245,153.852,0
AS,30/04/2020,64.8,63.5969,69.594,80.3182,69.7146
AS,01/05/2020,59.9026,64.536,73.1301,121.5117,67.6512
AS,02/05/2020,59.8935,67.3499,63.9172,137.7236,63.9712
AS,03/05/2020,62.8194,67.4833,80.1928,137.7326,60.1502
AS,04/05/2020,59.3433,64.7631,45.7599,137.7097,56.3356
AS,05/05/2020,61.6658,64.5717,97.2925,137.7095,50.7645
AS,06/05/2020,60.3863,66.524,63.6774,137.7096,41.7405
IB,30/04/2020,61.1263,73.9466,71.558,46.8502,100.7548
IB,01/05/2020,54.6633,78.1777,71.1077,91.3927,69.178
IB,02/05/2020,63.6275,78.4866,75.6367,88.0162,195.4822
IB,03/05/2020,75.8165,74.7362,65.4229,62.347,9.4948
IB,04/05/2020,65.9395,73.1288,85.9163,81.0529,239.356
IB,05/05/2020,59.1453,73.5555,17.3507,65.3531,0
IB,06/05/2020,60.4968,74.624,137.6785,75.5737,230.6701
CN,30/04/2020,74.2588,40.9668,52.1241,40.9197,67.3313
CN,01/05/2020,78.4529,48.2054,17.3201,55.1846,62.403
CN,02/05/2020,78.5081,56.9316,31.9471,59.8049,49.6084
CN,03/05/2020,79.6532,51.896,10.8852,66.614,16.9005
CN,04/05/2020,79.2565,56.3179,46.8746,62.2192,0
CN,05/05/2020,78.8956,65.2439,112.0032,44.7842,0
CN,06/05/2020,79.166,61.2861,0,66.8457,12.4368
CB,30/04/2020,48.4107,58.5349,69.4385,72.7258,74.2109
CB,01/05/2020,76.944,44.9202,74.7337,70.5448,73.4833
CB,02/05/2020,56.3198,38.9766,53.3792,73.7924,78.3695
CB,03/05/2020,45.9948,7.54,109.8156,69.7469,76.7012
CB,04/05/2020,75.7654,1.5741,89.5352,73.4183,79.3862
CB,05/05/2020,59.4657,0,74.7586,68.673,78.927
CB,06/05/2020,44.5862,0,105.0617,73.5085,79.6212
CM,30/04/2020,57.2403,55.5151,84.9063,31.908,79.1447
CM,01/05/2020,56.6575,51.7544,108.8768,172.143,113.2678
CM,02/05/2020,71.4171,52.964,101.935,0,137.9145
CM,03/05/2020,72.485,65.0816,69.068,108.4642,129.3862
CM,04/05/2020,57.9626,82.4148,60.0497,0,101.6446
CM,05/05/2020,57.733,69.5888,28.7465,187.6469,67.2724
CM,06/05/2020,71.0209,59.3839,31.9313,0,59.7887
CL,30/04/2020,22.3441,66.947,60.6972,57.0101,54.3167
CL,01/05/2020,132.4886,65.4559,58.3022,47.3262,58.7859
CL,02/05/2020,0,65.4078,54.1576,51.8672,51.4739
CL,03/05/2020,155.5219,65.1728,47.4642,50.2261,41.4563
CL,04/05/2020,0,65.1466,25.2626,54.0304,38.1638
CL,05/05/2020,79.0003,65.0875,0,54.6126,38.54
CL,06/05/2020,0,65.0779,0,56.363,45.7592
CT,30/04/2020,62.8019,56.627,85.9842,90.5923,29.8876
CT,01/05/2020,58.7917,39.1237,96.233,117.2851,7.4711
CT,02/05/2020,59.625,0,83.4736,132.8924,0
CT,03/05/2020,60.9922,18.6847,98.3078,119.7649,0
CT,04/05/2020,61.5394,43.4198,85.1727,119.7691,3.4407
CT,05/05/2020,61.178,50.6075,100.7801,119.7744,21.6737
CT,06/05/2020,60.6968,59.0507,85.6372,119.7744,108.8827
CE,30/04/2020,51.9282,61.529,52.897,65.4548,67.3113
CE,01/05/2020,84.1232,89.8497,52.9809,59.0387,63.9806
CE,02/05/2020,22.7904,1.7108,48.5002,64.8695,65.6132
CE,03/05/2020,109.2504,131.668,51.2967,65.5601,68.3874
CE,04/05/2020,0,0,52.2253,67.5274,70.3029
CE,05/05/2020,88.4391,162.6767,49.6574,68.9528,68.8954
CE,06/05/2020,0,0,51.1136,67.2472,64.1544
VC,30/04/2020,78.7596,64.5236,0,81.8217,49.4751
VC,01/05/2020,189.5663,63.891,0,130.2758,74.2481
VC,02/05/2020,192.5704,65.9443,73.6914,148.1476,97.249
VC,03/05/2020,111.0393,63.7162,122.0616,89.8173,80.2379
VC,04/05/2020,0,66.3763,0,52.8757,84.9481
VC,05/05/2020,0,62.9937,0,0,48.0314
VC,06/05/2020,0,66.5173,43.5655,66.0787,83.9234
EX,30/04/2020,68.603,108.7695,76.6476,68.8922,60.887
EX,01/05/2020,67.8732,157.2444,84.5052,71.1398,63.3683
EX,02/05/2020,67.575,72.4669,92.3618,68.0931,64.2495
EX,03/05/2020,67.3582,0,94.9111,74.106,62.6621
EX,04/05/2020,67.2154,41.9228,93.8935,65.536,62.4341
EX,05/05/2020,67.1115,100.0421,91.6077,85.6944,63.0266
EX,06/05/2020,67.0374,152.5041,89.414,51.5144,63.137
GA,30/04/2020,36.9812,68.3691,91.7935,62.0762,70.0512
GA,01/05/2020,85.2304,61.7356,79.6326,65.6811,71.7322
GA,02/05/2020,37.2468,51.0753,99.0819,60.8234,69.2275
GA,03/05/2020,38.4476,20.732,94.9834,66.6209,76.0626
GA,04/05/2020,52.191,0,103.9228,58.8356,63.9258
GA,05/05/2020,12.2655,0,104.899,67.4346,85.1787
GA,06/05/2020,83.5115,0,104.7051,56.0021,64.6115
MD,30/04/2020,61.7383,30.8451,61.5568,72.7586,69.2423
MD,01/05/2020,21.5385,25.2223,51.2757,73.3007,66.9643
MD,02/05/2020,0,26.0419,56.939,71.1843,64.8457
MD,03/05/2020,0,26.6332,64.9309,69.7302,64.893
MD,04/05/2020,33.6638,26.0635,66.2812,70.772,66.1701
MD,05/05/2020,141.4051,26.307,64.5088,72.5791,67.4662
MD,06/05/2020,188.0384,26.2825,58.5232,72.594,68.4309
ML,30/04/2020,49.5156,0,63.3892,73.779,92.6964
ML,01/05/2020,120.83,171.0048,48.4462,81.9472,135.2243
ML,02/05/2020,0,0,0,90.6024,136.158
ML,03/05/2020,74.8827,205.1731,0,91.2625,126.0348
ML,04/05/2020,0,0,0,92.1992,108.5361
ML,05/05/2020,107.506,234.0889,0,92.7859,71.9419
ML,06/05/2020,0,0,87.9441,94.2736,12.3681
MC,30/04/2020,122.8914,68.3306,74.6515,69.498,61.4045
MC,01/05/2020,103.0895,76.8238,76.7643,68.8648,64.4258
MC,02/05/2020,116.8118,50.7075,72.3038,69.1854,76.3596
MC,03/05/2020,147.5224,78.5067,64.0961,69.5024,74.4922
MC,04/05/2020,124.9366,16.4097,62.2082,69.3438,57.7576
MC,05/05/2020,116.7221,100.2746,67.3726,69.1619,68.0418
MC,06/05/2020,120.17,0,82.0293,69.2529,95.445
NC,30/04/2020,64.6134,73.2207,77.1418,75.5399,67.1856
NC,01/05/2020,73.6336,77.8732,102.2443,77.88,66.8759
NC,02/05/2020,49.0436,89.6787,114.4242,87.4218,66.628
NC,03/05/2020,72.7085,94.7905,119.6635,85.5886,66.5653
NC,04/05/2020,0,97.6226,122.0345,89.3898,66.5459
NC,05/05/2020,237.332,97.8619,122.1096,89.3493,66.5402
NC,06/05/2020,0,98.113,122.0448,89.6069,66.5385
PV,30/04/2020,76.1682,58.9012,89.7823,67.5939,16.6937
PV,01/05/2020,73.8225,51.6638,87.9916,71.3968,81.0865
PV,02/05/2020,67.6261,59.264,88.0928,66.054,59.8142
PV,03/05/2020,69.01,80.2832,85.8539,73.0838,0
PV,04/05/2020,74.5748,30.6229,86.7931,64.5559,32.6863
PV,05/05/2020,72.3373,128.4892,84.258,72.4671,128.9383
PV,06/05/2020,70.6304,73.6175,86.1257,61.8973,47.0256
RI,30/04/2020,75.9492,101.2941,29.6543,83.767,74.0578
RI,01/05/2020,79.1898,98.5991,78.1908,97.9079,81.2593
RI,02/05/2020,87.8091,84.5216,0.53288,104.9346,87.9912
RI,03/05/2020,93.621,74.8639,75.1,124.4202,84.9597
RI,04/05/2020,84.4631,85.2359,0,124.9681,57.9994
RI,05/05/2020,69.9098,98.5877,139.4658,141.1986,32.6658
RI,06/05/2020,48.4187,98.365,0,139.338,19.6208
